ID,Pref,Fiscal,Young,Older,Jimin,Rikken,Kokumin,Komei,Ishin,Kyosan,Shamin,Reiwa,NHK,Region2,Region6
1,ñkäCìπ,0.46217,23.37830393,32.26169525,32.2997573,20.8528546,6.65430564,11.7004314,7.78449165,11.581085,1.31497921,3.85077927,2.23783522,1,1
2,ê¬êXåß,0.35801,21.93200548,33.69178672,39.7981602,21.9673646,7.24139169,11.2863249,3.40306238,8.30893273,2.35833408,3.23175458,1.35079973,1,1
3,ä‚éËåß,0.37248,22.7482015,33.81424488,35.496398,17.8484631,12.4803887,8.21919755,4.36158919,10.3795237,3.83229146,4.0954973,1.8614686,1,1
4,ã{èÈåß,0.62649,26.14017651,28.43901171,39.607451,17.8103956,9.01962203,11.0590975,4.60294617,7.89199479,2.09760301,4.4095613,2.15851808,1,1
5,èHìcåß,0.32157,19.87661441,37.60176891,44.4734443,13.5215333,8.64214694,10.6344564,4.48233116,8.09371718,3.77499383,3.33141868,1.80421582,1,1
6,éRå`åß,0.37896,23.19326681,33.98364781,45.2472244,14.9231518,7.3715037,9.87213676,4.28199432,6.50528624,5.08253586,3.88282472,1.72991106,1,1
7,ïüìáåß,0.54482,23.86809091,31.82747782,38.1687102,13.5865451,12.1218852,12.7521037,5.30906731,7.99416457,3.00953985,4.03863107,1.81678041,1,1
8,àÔèÈåß,0.65584,25.07874266,30.30695165,39.333586,15.1966133,7.15354139,15.1177654,6.72866306,7.7312578,1.45643715,4.08997775,2.02722658,1,2
9,ì»ñÿåß,0.64821,25.02455522,29.56807414,40.3097066,18.9422685,9.9381913,12.814109,4.89738507,5.04077422,1.02802327,3.82283714,2.14639067,1,2
10,åQînåß,0.63796,24.80930947,30.88517283,40.6329816,16.362521,9.75906179,12.4415115,4.66792792,7.58487,1.86872448,3.7136696,1.75721978,1,2
11,çÈã åß,0.77024,26.19237638,27.33046671,31.3865601,20.7940531,5.21365911,14.4978251,7.31583484,10.5531436,1.58414076,4.77144705,2.46726233,1,2
12,êÁótåß,0.77845,26.24116551,28.02413714,36.3582777,20.0112788,4.23390454,14.1009513,6.1943992,9.38276759,1.5227811,4.72243937,2.03303146,1,2
13,ìåãûìs,1.15019,27.39886375,23.29182641,32.5851472,17.6982351,4.7358595,11.5383018,8.32547833,11.2994569,1.79997043,7.94804569,2.31999317,1,2
